nhic_code,MRID
90000000016387,490102-0222-2706
90000000031698,690201-0122-6401
90000000009902,542403-0130-2713
90000000033944,270103-0122-2713
90000000006637,482001-0130-3501
90000000009454,280204-0230-4801
90000000009005,280301-0130-3501
90000000003715,800704-0146-5406
90000000013372,800601-0101-5406
90000000004612,120601-0101-2713
90000000009470,280204-0130-2713
90000000034053,650404-0222-6409
90000000006115,690505-0522-6401
90000000033021,060401-0107-5401
90000000026104,541803-0222-2714
90000000012273,370202-0101-0901
90000000002539,541901-0122-4803
90000000006810,570115-0130-5402
90000000017902,110103-0715-5406
90000000030253,140701-0422-6401
