moh_code,MRID
544061410,190301-0122-6401
551031192,830303-0122-6401
549066474,070301-0241-5603
550014366,481101-0101-5406
540014135,480102-0122-2706
548034582,170413-0501-2713
547071702,450201-0341-6401
541024125,543201-0230-2713
545064880,600501-0122-4801
551064430,640208-0230-2713
546031236,020404-0222-6404
548034585,170413-1201-2713
548024419,170415-0130-2714
540014377,481503-0130-5401
545051813,660201-0122-6409
549016046,760606-0141-6001
550013320,700801-0101-5406
540031537,710202-0122-6401
541014093,540724-0122-2706
549016051,760604-0241-6001
548034572,170413-1601-2713
550063738,340202-0401-3601
545044671,640403-0230-2713
546012000,050104-0222-6401
550063696,541005-0130-2713
541044337,542404-0122-2701
549041400,780301-0130-6201
546065548,060301-0104-5901
543074503,170208-0101-2701
549031350,770103-0122-6401
550013210,801204-0301-5406
548034510,170301-0201-2713
548034596,170413-1301-2713
545051814,660201-0322-6409
545071960,670401-0222-6401
545052808,660701-0222-4801
544031104,250104-0122-6409
541015000,570122-0222-2706
541024149,541003-0330-2713
541014087,541801-0130-2714
547071710,450201-0241-6401
545051826,660107-0130-2713
540031631,710501-0122-6401
546021090,070801-0122-0401
540022462,490303-0130-6001
545024065,640102-0146-2713
545021310,610201-0141-6401
540022468,490101-0122-2706
545031455,690204-0222-6401
542024355,520106-0215-2713
550063680,330501-0101-0901
540014370,482402-0122-2706
543021246,150404-0141-2706
541024145,541006-0130-2713
540021492,010203-0101-0901
540051780,510210-0122-6401
545021010,700701-0522-3701
545051830,690104-0122-0405
548024314,120209-0301-0601
550013462,801004-0101-5406
545021307,830106-0122-2706
543014170,150601-0222-6401
551066410,310301-0101-5406
548024418,120601-0130-5601
545031450,690204-0122-6401
550014015,801401-0130-2713
540014140,480102-0104-2706
543024201,140503-0415-2713
541014098,543701-0222-2713
543014160,150601-0130-2713
545034618,681002-0330-2713
550013161,510304-0101-0601
540021520,280204-0130-2713
545031626,680101-0222-6401
543014080,830102-0130-2713
540021515,280204-0230-4801
550063692,280104-0101-4001
545031645,690103-0122-6409
543011033,280107-0130-5201
